image concentration replicate x y semiMajorAxis semiMinorAxis rotationAngle
IMG_0963_con_4.jpeg 4 3 218 151 21 21 0
IMG_0957_con_5.jpeg 5 1 90 151 21 21 0
IMG_0957_con_5.jpeg 5 2 154 121 21 21 0
IMG_0957_con_5.jpeg 5 3 221 147 21 21 0
IMG_0958_con_5.jpeg 5 1 89 157 21 21 0
IMG_0958_con_5.jpeg 5 2 153 125 21 21 0
IMG_0958_con_5.jpeg 5 3 221 152 21 21 0
IMG_0959_con_5.jpeg 5 1 89 157 21 21 0
IMG_0959_con_5.jpeg 5 2 152 126 21 21 0
IMG_0959_con_5.jpeg 5 3 221 152 21 21 0
IMG_0960_con_5.jpeg 5 1 92 157 21 21 0
IMG_0960_con_5.jpeg 5 2 157 126 21 21 0
IMG_0960_con_5.jpeg 5 3 224 152 21 21 0
IMG_0961_con_5.jpeg 5 1 88 156 21 21 0
IMG_0961_con_5.jpeg 5 2 153 124 21 21 0
IMG_0961_con_5.jpeg 5 3 220 151 21 21 0
IMG_0962_con_5.jpeg 5 1 89 153 21 21 0
IMG_0962_con_5.jpeg 5 2 153 123 21 21 0
IMG_0962_con_5.jpeg 5 3 221 149 21 21 0
IMG_0963_con_5.jpeg 5 1 89 154 21 21 0
IMG_0963_con_5.jpeg 5 2 153 122 21 21 0
IMG_0963_con_5.jpeg 5 3 221 149 21 21 0
IMG_0957_con_6.jpeg 6 1 88 154 20 20 0
IMG_0957_con_6.jpeg 6 2 151 122 20 20 0
IMG_0957_con_6.jpeg 6 3 211 148 20 20 0
IMG_0958_con_6.jpeg 6 1 87 154 21 21 0
IMG_0958_con_6.jpeg 6 2 150 123 20 20 0
IMG_0958_con_6.jpeg 6 3 210 149 20 20 0
IMG_0959_con_6.jpeg 6 1 87 155 21 21 0
IMG_0959_con_6.jpeg 6 2 150 123 20 20 0
IMG_0959_con_6.jpeg 6 3 211 148 20 20 0
IMG_0960_con_6.jpeg 6 1 90 155 21 21 0
IMG_0960_con_6.jpeg 6 2 153 123 20 20 0
IMG_0960_con_6.jpeg 6 3 214 149 20 20 0
IMG_0961_con_6.jpeg 6 1 87 154 21 21 0
IMG_0961_con_6.jpeg 6 2 150 122 20 20 0
IMG_0961_con_6.jpeg 6 3 213 148 20 20 0
IMG_0962_con_6.jpeg 6 1 87 152 21 21 0
IMG_0962_con_6.jpeg 6 2 151 120 20 20 0
IMG_0962_con_6.jpeg 6 3 213 145 20 20 0
IMG_0963_con_6.jpeg 6 1 88 153 21 21 0
IMG_0963_con_6.jpeg 6 2 152 121 20 20 0
IMG_0963_con_6.jpeg 6 3 213 146 20 20 0
